id,modulo_id,paquete_id,obligatorio,orden
1,1,15,t,1
2,2,16,t,1
3,3,17,t,1
4,4,18,t,1
5,5,19,t,1
6,6,20,t,1
7,7,21,t,1
8,8,22,t,1
9,9,23,t,1
10,10,24,t,1
11,11,25,t,1
12,13,26,t,1
13,14,27,t,1
14,15,28,t,1
15,16,29,t,1
16,17,30,t,1
17,18,31,t,1
18,19,32,t,1
19,20,33,t,1
20,21,34,t,1
21,22,35,t,1
22,23,36,t,1
23,24,37,t,1
24,25,38,t,1
25,26,39,t,1
26,27,40,t,1
27,28,41,t,1
28,29,42,t,1
29,30,43,t,1
30,31,44,t,1
31,32,45,t,1
32,33,46,t,1
33,34,47,t,1
100,23,81,t,1
101,24,81,t,2
102,22,114,t,1
103,23,114,t,2
