2026/07/02 15:33:00 Authorizing with Application Default Credentials
2026/07/02 15:33:00 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Listening on 127.0.0.1:5434
2026/07/02 15:33:00 The proxy has started successfully and is ready for new connections!
2026/07/02 15:33:24 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61522
2026/07/02 15:33:24 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61523
2026/07/02 15:33:25 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:33:25 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:33:38 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61528
2026/07/02 15:33:38 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61530
2026/07/02 15:33:38 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61532
2026/07/02 15:33:39 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:33:39 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:33:39 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:34:01 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61539
2026/07/02 15:34:01 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61541
2026/07/02 15:34:02 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:34:02 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:36:32 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61580
2026/07/02 15:36:39 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:37:15 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61586
2026/07/02 15:37:42 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:37:54 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61589
2026/07/02 15:38:21 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:43:43 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61750
2026/07/02 15:43:44 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:43:44 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61752
2026/07/02 15:43:44 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:44:22 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61763
2026/07/02 15:44:22 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61765
2026/07/02 15:44:23 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:44:23 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:44:52 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61803
2026/07/02 15:44:52 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:45:08 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61816
2026/07/02 15:45:09 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
2026/07/02 15:45:22 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] Accepted connection from 127.0.0.1:61821
2026/07/02 15:45:23 [cetprosmp-2026:us-central1:cetprosmp-2026-instance] client closed the connection
